ID,Name,Descriptive Name,Description,Domain,Owner,IsCompliance,Status,Version,NumberUsers
DP029,PocionSafe,Sistema de Seguimiento de Hechizos,"Data Product relacionado con cuidado de criaturas magicas, utilizado en Hogwarts.",Cuidado de Criaturas Magicas,Rubeus Hagrid,False,Production,1.0.0,100
DP030,ProfeciaMonitor,Guardian de la Historia,"Data Product relacionado con historia de la magia, utilizado en Hogwarts.",Historia de la Magia,Cuthbert Binns,False,Production,1.0.0,95
DP031,Transfigurator,Registro de Encantamientos,"Data Product relacionado con encantamientos, utilizado en Hogwarts.",Encantamientos,Filius Flitwick,False,Deprecated,2.8.4,17
DP032,ProfeciaMonitor,Aplicacion de Herbologia,"Data Product relacionado con adivinacion, utilizado en Hogwarts.",Adivinacion,Sybill Trelawney,True,Deprecated,0.4.7,52
DP033,CharmLog,Mapa Estelar,"Data Product relacionado con adivinacion, utilizado en Hogwarts.",Adivinacion,Sybill Trelawney,False,Deprecated,1.2.5,52
DP034,HerboApp,Monitor de Profecias,"Data Product relacionado con pociones, utilizado en Hogwarts.",Pociones,Horace Slughorn,True,Production,1.0.8,72
DP035,TrackHechizo,Registro de Encantamientos,"Data Product relacionado con encantamientos, utilizado en Hogwarts.",Encantamientos,Filius Flitwick,True,Production,1.8.5,100
DP036,TrackHechizo,Guardian de la Historia,"Data Product relacionado con adivinacion, utilizado en Hogwarts.",Adivinacion,Firenze,True,Production,2.2.6,100
DP037,PocionSafe,Vigilante de Criaturas Magicas,"Data Product relacionado con adivinacion, utilizado en Hogwarts.",Adivinacion,Sybill Trelawney,False,Production,3.0.0,54
DP038,CriaturaWatch,Guardian de la Historia,"Data Product relacionado con transformaciones, utilizado en Hogwarts.",Transformaciones,Minerva McGonagall,True,Production,3.0.0,88
DP039,Transfigurator,Sistema de Seguimiento de Hechizos,"Data Product relacionado con encantamientos, utilizado en Hogwarts.",Encantamientos,Filius Flitwick,True,Production,1.9.9,100
DP040,CriaturaWatch,Vigilante de Criaturas Magicas,"Data Product relacionado con astronomia, utilizado en Hogwarts.",Astronomia,Aurora Sinistra,True,Production,2.0.0,100
DP041,ProfeciaMonitor,Mapa Estelar,"Data Product relacionado con transformaciones, utilizado en Hogwarts.",Transformaciones,Minerva McGonagall,True,Production,1.0.0,58
DP042,ProfeciaMonitor,Aplicacion de Herbologia,"Data Product relacionado con astronomia, utilizado en Hogwarts.",Astronomia,Aurora Sinistra,False,Production,3.0.0,90
DP043,Transfigurator,Vigilante de Criaturas Magicas,"Data Product relacionado con herbologia, utilizado en Hogwarts.",Herbologia,Pomona Sprout,True,Deprecated,0.8.0,50
DP044,CharmLog,Vigilante de Criaturas Magicas,"Data Product relacionado con historia de la magia, utilizado en Hogwarts.",Historia de la Magia,Cuthbert Binns,True,Production,1.0.0,100
DP045,HistoriKeeper,Mapa Estelar,"Data Product relacionado con historia de la magia, utilizado en Hogwarts.",Historia de la Magia,Cuthbert Binns,True,Deprecated,0.2.1,39
DP046,CriaturaWatch,Mapa Estelar,"Data Product relacionado con adivinacion, utilizado en Hogwarts.",Adivinacion,Sybill Trelawney,False,Deprecated,1.0.1,100
DP047,TrackHechizo,Monitor de Profecias,"Data Product relacionado con transformaciones, utilizado en Hogwarts.",Transformaciones,Minerva McGonagall,True,Deprecated,2.8.3,100
DP048,PocionSafe,Mapa Estelar,"Data Product relacionado con astronomia, utilizado en Hogwarts.",Astronomia,Aurora Sinistra,True,Production,2.0.0,100
DP049,HistoriKeeper,Aplicacion de Transfiguraciones,"Data Product relacionado con encantamientos, utilizado en Hogwarts.",Encantamientos,Filius Flitwick,True,Deprecated,2.9.8,51
DP050,Transfigurator,Sistema de Seguimiento de Hechizos,"Data Product relacionado con defensa contra las artes oscuras, utilizado en Hogwarts.",Defensa Contra las Artes Oscuras,Severus Snape,True,Production,1.0.0,100
DP051,TrackHechizo,Registro de Encantamientos,"Data Product relacionado con astronomia, utilizado en Hogwarts.",Astronomia,Aurora Sinistra,True,Production,2.0.0,52
DP052,Transfigurator,Monitor de Pociones,"Data Product relacionado con adivinacion, utilizado en Hogwarts.",Adivinacion,Sybill Trelawney,True,Production,2.0.0,82
DP053,TrackHechizo,Guardian de la Historia,"Data Product relacionado con encantamientos, utilizado en Hogwarts.",Encantamientos,Filius Flitwick,False,Deprecated,2.1.0,71
DP054,TrackHechizo,Aplicacion de Herbologia,"Data Product relacionado con herbologia, utilizado en Hogwarts.",Herbologia,Pomona Sprout,False,Production,2.9.5,78
DP055,CriaturaWatch,Registro de Encantamientos,"Data Product relacionado con historia de la magia, utilizado en Hogwarts.",Historia de la Magia,Cuthbert Binns,False,Production,3.0.0,84
DP056,Transfigurator,Guardian de la Historia,"Data Product relacionado con cuidado de criaturas magicas, utilizado en Hogwarts.",Cuidado de Criaturas Magicas,Rubeus Hagrid,True,Production,1.5.3,96
DP057,HistoriKeeper,Monitor de Profecias,"Data Product relacionado con pociones, utilizado en Hogwarts.",Pociones,Severus Snape,False,Deprecated,1.0.8,38
DP058,PocionSafe,Monitor de Pociones,"Data Product relacionado con herbologia, utilizado en Hogwarts.",Herbologia,Pomona Sprout,False,Production,3.0.0,88
DP059,HistoriKeeper,Registro de Encantamientos,"Data Product relacionado con adivinacion, utilizado en Hogwarts.",Adivinacion,Firenze,True,Production,1.2.7,98
DP060,HistoriKeeper,Registro de Encantamientos,"Data Product relacionado con pociones, utilizado en Hogwarts.",Pociones,Horace Slughorn,True,Production,2.9.0,93
DP061,HistoriKeeper,Mapa Estelar,"Data Product relacionado con transformaciones, utilizado en Hogwarts.",Transformaciones,Minerva McGonagall,True,Deprecated,0.5.9,100
DP062,ProfeciaMonitor,Aplicacion de Herbologia,"Data Product relacionado con transformaciones, utilizado en Hogwarts.",Transformaciones,Minerva McGonagall,True,Deprecated,0.6.1,24
DP063,TrackHechizo,Registro de Encantamientos,"Data Product relacionado con adivinacion, utilizado en Hogwarts.",Adivinacion,Sybill Trelawney,True,Production,2.2.4,100
DP064,HerboApp,Sistema de Seguimiento de Hechizos,"Data Product relacionado con defensa contra las artes oscuras, utilizado en Hogwarts.",Defensa Contra las Artes Oscuras,Alastor Moody,False,Deprecated,1.2.5,41
DP065,EstelarMap,Aplicacion de Herbologia,"Data Product relacionado con cuidado de criaturas magicas, utilizado en Hogwarts.",Cuidado de Criaturas Magicas,Wilhelmina Grubbly-Plank,False,Deprecated,1.5.8,55
DP066,CharmLog,Registro de Encantamientos,"Data Product relacionado con astronomia, utilizado en Hogwarts.",Astronomia,Aurora Sinistra,False,Production,0.3.8,100
DP067,CriaturaWatch,Vigilante de Criaturas Magicas,"Data Product relacionado con cuidado de criaturas magicas, utilizado en Hogwarts.",Cuidado de Criaturas Magicas,Rubeus Hagrid,True,Production,3.0.0,74
DP068,PocionSafe,Guardian de la Historia,"Data Product relacionado con transformaciones, utilizado en Hogwarts.",Transformaciones,Minerva McGonagall,True,Production,0.6.4,88
DP069,PocionSafe,Monitor de Profecias,"Data Product relacionado con historia de la magia, utilizado en Hogwarts.",Historia de la Magia,Cuthbert Binns,False,Production,3.0.0,64
DP070,TrackHechizo,Registro de Encantamientos,"Data Product relacionado con historia de la magia, utilizado en Hogwarts.",Historia de la Magia,Cuthbert Binns,True,Production,2.0.0,100
DP071,HistoriKeeper,Guardian de la Historia,"Data Product relacionado con defensa contra las artes oscuras, utilizado en Hogwarts.",Defensa Contra las Artes Oscuras,Severus Snape,True,Production,3.0.0,78
DP072,CriaturaWatch,Aplicacion de Transfiguraciones,"Data Product relacionado con astronomia, utilizado en Hogwarts.",Astronomia,Aurora Sinistra,False,Deprecated,2.0.0,33
DP073,TrackHechizo,Monitor de Profecias,"Data Product relacionado con adivinacion, utilizado en Hogwarts.",Adivinacion,Firenze,True,Production,1.0.0,82
DP074,CharmLog,Monitor de Profecias,"Data Product relacionado con defensa contra las artes oscuras, utilizado en Hogwarts.",Defensa Contra las Artes Oscuras,Severus Snape,True,Production,3.0.0,100
DP075,HistoriKeeper,Aplicacion de Herbologia,"Data Product relacionado con adivinacion, utilizado en Hogwarts.",Adivinacion,Firenze,False,Production,2.3.3,100
DP076,EstelarMap,Sistema de Seguimiento de Hechizos,"Data Product relacionado con historia de la magia, utilizado en Hogwarts.",Historia de la Magia,Cuthbert Binns,False,Deprecated,2.3.7,42
DP077,TrackHechizo,Mapa Estelar,"Data Product relacionado con encantamientos, utilizado en Hogwarts.",Encantamientos,Filius Flitwick,True,Production,2.0.0,100
DP078,ProfeciaMonitor,Sistema de Seguimiento de Hechizos,"Data Product relacionado con cuidado de criaturas magicas, utilizado en Hogwarts.",Cuidado de Criaturas Magicas,Wilhelmina Grubbly-Plank,False,Deprecated,2.5.2,37
DP079,Transfigurator,Guardian de la Historia,"Data Product relacionado con defensa contra las artes oscuras, utilizado en Hogwarts.",Defensa Contra las Artes Oscuras,Remus Lupin,True,Production,2.0.0,100
DP080,PocionSafe,Guardian de la Historia,"Data Product relacionado con defensa contra las artes oscuras, utilizado en Hogwarts.",Defensa Contra las Artes Oscuras,Alastor Moody,True,Production,1.0.0,100
DP081,HerboApp,Aplicacion de Herbologia,"Data Product relacionado con historia de la magia, utilizado en Hogwarts.",Historia de la Magia,Cuthbert Binns,True,Production,1.0.0,95
DP082,HerboApp,Registro de Encantamientos,"Data Product relacionado con herbologia, utilizado en Hogwarts.",Herbologia,Pomona Sprout,False,Deprecated,3.0.1,100
DP083,ProfeciaMonitor,Registro de Encantamientos,"Data Product relacionado con historia de la magia, utilizado en Hogwarts.",Historia de la Magia,Cuthbert Binns,False,Production,1.0.0,62
DP084,Transfigurator,Monitor de Profecias,"Data Product relacionado con encantamientos, utilizado en Hogwarts.",Encantamientos,Filius Flitwick,True,Production,1.0.0,100
DP085,CharmLog,Monitor de Pociones,"Data Product relacionado con defensa contra las artes oscuras, utilizado en Hogwarts.",Defensa Contra las Artes Oscuras,Remus Lupin,True,Production,1.0.0,80
DP086,HerboApp,Guardian de la Historia,"Data Product relacionado con pociones, utilizado en Hogwarts.",Pociones,Severus Snape,False,Deprecated,0.6.5,100
DP087,PocionSafe,Vigilante de Criaturas Magicas,"Data Product relacionado con defensa contra las artes oscuras, utilizado en Hogwarts.",Defensa Contra las Artes Oscuras,Severus Snape,True,Production,1.0.0,100
DP088,UmbridgeControl,Sistema de Control Disciplinario,"Data Product relacionado con defensa contra las artes oscuras, utilizado en Hogwarts.",Defensa Contra las Artes Oscuras,Dolores Umbridge,False,Deprecated,0.2.1,12
DP089,DecreeMonitor,Monitor de Decretos Ministeriales,"Data Product relacionado con defensa contra las artes oscuras, utilizado en Hogwarts.",Defensa Contra las Artes Oscuras,Dolores Umbridge,False,Deprecated,1.0.1,20
DP090,OraculumDB,Sistema de Observación Estelar,"Data Product relacionado con astronomia, utilizado en Hogwarts.",Astronomia,Aurora Sinistra,True,Production,1.0.0,50
DP091,FelixFelicis,Motor de Predicción de Pociones,"Data Product relacionado con pociones, utilizado en Hogwarts.",Pociones,Horace Slughorn,False,Production,1.0.0,48
DP092,MandrakeCure,Sistema de Clasificación de Plantas,"Data Product relacionado con herbologia, utilizado en Hogwarts.",Herbologia,Pomona Sprout,True,Production,1.0.0,55
DP093,LumosScan,Escáner de Encantamientos Activos,"Data Product relacionado con encantamientos, utilizado en Hogwarts.",Encantamientos,Filius Flitwick,True,Production,1.0.0,72
DP094,AnimagiTrack,Registro de Animagos y Transformaciones,"Data Product relacionado con transformaciones, utilizado en Hogwarts.",Transformaciones,Minerva McGonagall,True,Production,1.0.0,40
DP095,BowtruckleDB,Base de Datos de Criaturas Mágicas,"Data Product relacionado con cuidado de criaturas magicas, utilizado en Hogwarts.",Cuidado de Criaturas Magicas,Rubeus Hagrid,False,Production,1.0.0,46
DP096,GoblinChronos,Archivo de Guerras de Goblins,"Data Product relacionado con historia de la magia, utilizado en Hogwarts.",Historia de la Magia,Cuthbert Binns,False,Production,1.0.0,22
DP097,CrystalBallBI,Plataforma de Visiones del Futuro,"Data Product relacionado con adivinacion, utilizado en Hogwarts.",Adivinacion,Sybill Trelawney,False,Production,1.0.0,28
DP098,PatronusShield,Sistema de Defensa Predictiva,"Data Product relacionado con defensa contra las artes oscuras, utilizado en Hogwarts.",Defensa Contra las Artes Oscuras,Remus Lupin,True,Production,1.0.0,70
DP099,SeverusAnalytics,Análisis Comparativo Inter-Departamental,"Data Product relacionado con pociones, utilizado en Hogwarts.",Pociones,Severus Snape,False,Production,1.0.0,30
DP100,NevPlantTrack,Sistema de Trazabilidad de Plantas Raras,"Data Product relacionado con herbologia, utilizado en Hogwarts.",Herbologia,Neville Longbottom,True,Production,1.0.0,25
DP101,GryffPlantDB,Base de Datos de Plantas Curativas,"Data Product relacionado con herbologia, utilizado en Hogwarts.",Herbologia,Neville Longbottom,True,Production,1.0.0,50
DP102,OrdineApp,Aplicación de Orden y Control,"Data Product relacionado con defensa contra las artes oscuras, utilizado en Hogwarts.",Defensa Contra las Artes Oscuras,Dolores Umbridge,False,Deprecated,1.0.1,18
DP103,CosmicPotion,Análisis de Eventos Astrológicos,"Data Product relacionado con astronomia, utilizado en Hogwarts.",Astronomia,Severus Snape,False,Production,1.0.0,20
DP104,CharmMetrics,Métricas de Rendimiento de Encantamientos,"Data Product relacionado con encantamientos, utilizado en Hogwarts.",Encantamientos,Filius Flitwick,True,Production,1.0.0,35
DP105,InkDivine,Tinta de Predicciones Automatizada,"Data Product relacionado con adivinacion, utilizado en Hogwarts.",Adivinacion,Sybill Trelawney,False,Production,1.0.0,15
DP106,ThestralLog,Registro de Avistamientos de Thestrals,"Data Product relacionado con cuidado de criaturas magicas, utilizado en Hogwarts.",Cuidado de Criaturas Magicas,Wilhelmina Grubbly-Plank,True,Production,1.0.0,44
DP107,AmortentiaBI,Cuadro de Mando de Pociones Especiales,"Data Product relacionado con pociones, utilizado en Hogwarts.",Pociones,Horace Slughorn,True,Production,1.0.0,70
DP108,FoundersVault,Bóveda Digital de los Fundadores,"Data Product relacionado con historia de la magia, utilizado en Hogwarts.",Historia de la Magia,Cuthbert Binns,True,Production,1.0.0,30
DP109,MetamorphTrack,Sistema de Metamorfosis Controlada,"Data Product relacionado con transformaciones, utilizado en Hogwarts.",Transformaciones,Minerva McGonagall,True,Production,1.0.0,52
DP110,ConstantVigilance,Sistema de Alertas de Amenazas Oscuras,"Data Product relacionado con defensa contra las artes oscuras, utilizado en Hogwarts.",Defensa Contra las Artes Oscuras,Alastor Moody,True,Production,1.0.0,38
DP111,RootAnalytics,Análisis de Ecosistemas de Invernadero,"Data Product relacionado con herbologia, utilizado en Hogwarts.",Herbologia,Pomona Sprout,True,Production,1.0.0,58
DP112,NargleFinder,Detector de Nargles y Anomalías Mágicas,"Data Product relacionado con adivinacion, utilizado en Hogwarts.",Adivinacion,Luna Lovegood,True,Production,1.0.0,32
DP113,QuibblerFeed,Servicio de Alertas No Convencionales,"Data Product relacionado con adivinacion, utilizado en Hogwarts.",Adivinacion,Luna Lovegood,False,Planned,0.2.0,10
DP114,SpellRegistry,Registro Central de Encantamientos,"Data Product relacionado con encantamientos, utilizado en Hogwarts.",Encantamientos,Filius Flitwick,True,Planned,0.2.0,18
DP115,AntidoteAlert,Sistema de Alertas de Antídotos,"Data Product relacionado con pociones, utilizado en Hogwarts.",Pociones,Severus Snape,True,Production,1.0.0,40
DP116,PhoenixTrack,Seguimiento de Especies Mágicas en Peligro,"Data Product relacionado con cuidado de criaturas magicas, utilizado en Hogwarts.",Cuidado de Criaturas Magicas,Rubeus Hagrid,True,Production,1.0.0,32
DP117,CometPredict,Predictor de Eventos Celestes,"Data Product relacionado con astronomia, utilizado en Hogwarts.",Astronomia,Aurora Sinistra,True,Planned,0.2.0,15
DP118,PolyJuiceDB,Base de Datos de Transformaciones,"Data Product relacionado con transformaciones, utilizado en Hogwarts.",Transformaciones,Minerva McGonagall,False,Planned,0.1.0,8
DP119,HogwartsChronicle,Crónica Multimedia de Hogwarts,"Data Product relacionado con historia de la magia, utilizado en Hogwarts.",Historia de la Magia,Cuthbert Binns,True,Production,1.0.0,38
DP120,WeedWatcher,Monitor de Plagas en Invernaderos,"Data Product relacionado con herbologia, utilizado en Hogwarts.",Herbologia,Neville Longbottom,True,Production,1.0.0,20
DP121,DarkMatterDP,Detector de Magia Oscura Residual,"Data Product relacionado con defensa contra las artes oscuras, utilizado en Hogwarts.",Defensa Contra las Artes Oscuras,Remus Lupin,True,Planned,0.2.0,20
DP122,BottlecapOracle,Oráculo de Predicciones Sistémicas,"Data Product relacionado con adivinacion, utilizado en Hogwarts.",Adivinacion,Luna Lovegood,True,Planned,0.3.0,30
DP123,SeedVault,Bóveda Digital de Semillas Mágicas,"Data Product relacionado con herbologia, utilizado en Hogwarts.",Herbologia,Neville Longbottom,True,Planned,0.2.0,35
DP124,MagicPulse,Plataforma Central de Monitoreo de Magia,"Data Product relacionado con encantamientos, utilizado en Hogwarts.",Encantamientos,Filius Flitwick,True,Development,0.1.0,10
DP125,BrewQuality,Sistema de Control de Calidad de Pociones,"Data Product relacionado con pociones, utilizado en Hogwarts.",Pociones,Horace Slughorn,True,Planned,0.2.0,28
DP126,HorcruxRadar,Radar de Objetos con Magia Oscura,"Data Product relacionado con defensa contra las artes oscuras, utilizado en Hogwarts.",Defensa Contra las Artes Oscuras,Alastor Moody,True,Planned,0.4.0,38
DP127,NightSkyDP,Plataforma de Cartografía Celestial,"Data Product relacionado con astronomia, utilizado en Hogwarts.",Astronomia,Aurora Sinistra,True,Development,0.1.0,9
DP128,MemorialDP,Sistema de Memoriales Mágicos,"Data Product relacionado con historia de la magia, utilizado en Hogwarts.",Historia de la Magia,Cuthbert Binns,False,Development,0.0.3,4
DP129,DragonTamer,Sistema de Entrenamiento con Dragones,"Data Product relacionado con cuidado de criaturas magicas, utilizado en Hogwarts.",Cuidado de Criaturas Magicas,Rubeus Hagrid,False,Planned,0.1.0,15
